date,sales
2020-01-01,195
2020-01-02,210
2020-01-03,185
2020-01-04,205
2020-01-05,218
2020-01-06,188
2020-01-07,195
2020-01-08,201
2020-01-09,210
2020-01-10,196
2020-01-11,204
2020-01-12,193
2020-01-13,211
2020-01-14,212
2020-01-15,200
2020-01-16,217
2020-01-17,191
2020-01-18,199
2020-01-19,203
2020-01-20,213
2020-01-21,240
2020-01-22,216
2020-01-23,190
2020-01-24,179
2020-01-25,209
2020-01-26,229
2020-01-27,206
2020-01-28,197
2020-01-29,228
2020-01-30,225
2020-01-31,228
2020-02-01,211
2020-02-02,235
2020-02-03,210
2020-02-04,210
2020-02-05,228
2020-02-06,238
2020-02-07,199
2020-02-08,230
2020-02-09,231
2020-02-10,220
2020-02-11,211
2020-02-12,241
2020-02-13,215
2020-02-14,207
2020-02-15,210
2020-02-16,245
2020-02-17,224
2020-02-18,233
2020-02-19,240
2020-02-20,211
2020-02-21,207
2020-02-22,216
2020-02-23,200
2020-02-24,248
2020-02-25,220
2020-02-26,213
2020-02-27,256
2020-02-28,218
2020-02-29,209
2020-03-01,222
2020-03-02,186
2020-03-03,240
2020-03-04,200
2020-03-05,223
2020-03-06,204
2020-03-07,210
2020-03-08,220
2020-03-09,192
2020-03-10,206
2020-03-11,221
2020-03-12,213
2020-03-13,219
2020-03-14,221
2020-03-15,240
2020-03-16,204
2020-03-17,236
2020-03-18,199
2020-03-19,225
2020-03-20,210
2020-03-21,187
2020-03-22,229
2020-03-23,200
2020-03-24,227
2020-03-25,212
2020-03-26,190
2020-03-27,209
2020-03-28,183
2020-03-29,206
2020-03-30,209
2020-03-31,211
2020-04-01,195
2020-04-02,207
2020-04-03,207
2020-04-04,178
2020-04-05,190
2020-04-06,220
2020-04-07,212
2020-04-08,201
2020-04-09,183
2020-04-10,188
2020-04-11,202
2020-04-12,218
2020-04-13,192
2020-04-14,185
2020-04-15,210
2020-04-16,177
2020-04-17,220
2020-04-18,195
2020-04-19,173
2020-04-20,209
2020-04-21,198
2020-04-22,183
2020-04-23,203
2020-04-24,188
2020-04-25,201
2020-04-26,195
2020-04-27,207
2020-04-28,181
2020-04-29,189
2020-04-30,184
2020-05-01,176
2020-05-02,141
2020-05-03,199
2020-05-04,165
2020-05-05,195
2020-05-06,188
2020-05-07,152
2020-05-08,184
2020-05-09,183
2020-05-10,195
2020-05-11,179
2020-05-12,197
2020-05-13,177
2020-05-14,165
2020-05-15,183
2020-05-16,188
2020-05-17,183
2020-05-18,178
2020-05-19,175
2020-05-20,147
2020-05-21,198
2020-05-22,180
2020-05-23,181
2020-05-24,166
2020-05-25,177
2020-05-26,187
2020-05-27,176
2020-05-28,181
2020-05-29,188
2020-05-30,155
2020-05-31,211
2020-06-01,177
2020-06-02,180
2020-06-03,211
2020-06-04,169
2020-06-05,162
2020-06-06,161
2020-06-07,157
2020-06-08,200
2020-06-09,198
2020-06-10,165
2020-06-11,190
2020-06-12,195
2020-06-13,177
2020-06-14,197
2020-06-15,182
2020-06-16,180
2020-06-17,205
2020-06-18,199
2020-06-19,168
2020-06-20,189
2020-06-21,182
2020-06-22,186
2020-06-23,213
2020-06-24,184
2020-06-25,224
2020-06-26,198
2020-06-27,185
2020-06-28,201
